word, deff, prt_of_speech, usage, frequency_rank 
gens gentis f.,family# clan,Noun: 3rd Declension,The Household,194
genus generis n.,origin# lineage# kind,Noun: 3rd Declension,The Household,170
gero gerere gessi gestum,bear# manage; bellum gerere# wage war,Verb: 3rd Conjugation -o,War and Peace,237
gigno gignere genui genitum,beget# bear# bring forth,Verb: 3rd Conjugation -o,Life and Being,667
gladius gladii m.,sword,Noun: 2nd Declension,War and Peace,862
gloria glorae f.,glory# fame,Noun: 1st Declension,Social Life,360
gradus gradus m.,step# pace; grade# rank,Noun: 4th Declension,War and Peace,577
gratia gratae f.,favor# influence# gratitude,Noun: 1st Declension,Social Life,380
gratus grata gratum,pleasant; grateful,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,434
gravis grave,heavy# serious,Adjective: 3rd Declension,Measurement,140
habeo habere habui habitum,have# hold,Verb: 2nd Conjugation,Other Senses,39
haud,not,Adverb,Conjunctions/Adverbs,226
hic haec hoc,this# these,Pronoun,Pronouns/Interrogatives,7
hic,here; hinc: from here,Adverb,Place,80
hiems hiemis f.,winter,Noun: 3rd Declension,Lengths of Time,803
hodie,today,Adverb,Lengths of Time,981
homo hominis m.,human being,Noun: 3rd Declension,People,88
honestus honesta honestum,honorable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,580
honor honooris m.,honor# glory; office# post,Noun: 3rd Declension,The City,290
hora hoae f.,hour,Noun: 1st Declension,Lengths of Time,664
hortor hortari hortatus sum,urge strongly# advise# exhort,Verb: Deponent,Speech/Oratory,887
hospes hospitis m.,guest# guest-friend; stranger; host,Noun: 3rd Declension,Social Life,873
hostis hostis m./f.,stranger# enemy,Noun: 3rd Declension,War and Peace,93
huc,to this place,Adverb,Place,368
humanus humana humanum,human,Adjective: 1st and 2nd Declension,People,355
humus humi f.,ground; humi: on the ground,Noun: 2nd Declension,Earth and Water,740
iaceo iacere iacui,lie,Verb: 2nd Conjugation,The House,228
iacio iacere ieci iactum,throw# hurl,Verb: 3rd Conjugation -io,Athletics,899
iam,now; already,Adverb,Time,34
ibi,there,Adverb,Place,619
ictus ictus m.,blow# stroke,Noun: 4th Declension,Violence,819
idem eadem idem,the same,Pronoun,Pronouns/Interrogatives,59
ideo,for this reason,Adverb,Conjunctions/Adverbs,679
igitur,therefore,Conjunction,Conjunctions/Adverbs,313
ignis ignis m.,fire,Noun: 3rd Declension,Air and Fire,151
ille illa illud,that,Pronoun,Pronouns/Interrogatives,8
illic,at that place# there; illinc: from that place,Adverb,Place,396
illuc,to that place,Adverb,Place,955
imago imainis f.,image# form# figure,Noun: 3rd Declension,Vision,754
imperator imperatooris m.,commander,Noun: 3rd Declension,War and Peace,723
imperium imperii n.,command# power,Noun: 2nd Declension,War and Peace,200
impero imperare,command# control,Verb: 1st Conjugation,War and Peace,602
impetus impetus m.,attack,Noun: 4th Declension,Violence,421
impleo implere implevi impletum,fill in# fill up,Verb: 2nd Conjugation,Earth and Water,671
impono imponere imponposui imponpositum,put in# put on# impose# levy upon,Verb: 3rd Conjugation -o,Measurement,437
in,in# on (+ abl.); into# onto (+ acc),Preposition,Place,5
incido incidere incidi,fall upon# fall into; happen,Verb: 3rd Conjugation -o,Motion,871
incipio incipere incipcepi incipceptum,begin,Verb: 3rd Conjugation -io,Time,411
inde,from there# from then,Adverb,Place,328
indico indicare,point out# show# make known,Verb: 1st Conjugation,Speech/Oratory,980
infero inferre intuli illatum,bring upon# against; bellum inferre: make war on,Verb: Irregular,War and Peace,742
inferus infera inferum,low; inferior: lower; infimus or imus: lowest,Adjective: 1st and 2nd Declension,Geography,428
ingenium ingenii n.,disposition# ability# talent,Noun: 2nd Declension,Education/Knowledge,387
ingens ingentis,huge# enormous,Adjective: 3rd Declension,Measurement,202
ingratus ingrata ingratum:,unpleasant# disagreeable,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,592
ingredior ingrediorgredi ingrediorgressus sum:,step in# enter,Verb: Deponent,Motion,885
inimicus inimica inimicum:,unfriendly; (as subst.) enemy,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,952
initium initii n.:,beginning,Noun: 2nd Declension,Time,865
iniuria iniurae f.:,injustice# wrong# affront,Noun: 1st Declension,Justice,381
inquam# inquis# inquit# inquiunt:,say (used with direct speech),Verb: Irregular,Speech/Oratory,163
instituo instituere institui institutum:,undertake; equip,Verb: 3rd Conjugation -o,Making/Doing,931
insula insuae f.:,island,Noun: 1st Declension,Geography,908
integer integegra integegrum:,untouched# fresh# complete# whole,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,815
intellego intellegere intelleglexi intelleglectum:,understand,Verb: 3rd Conjugation -o,Education/Knowledge,512
intendo intendere intendi intendtentum:,stretch out# strain,Verb: 3rd Conjugation -o,Motion,895
inter,between# among; during (+ acc.),Preposition,Place,64
interficio interficere interficfeci interficfectum,kill,Verb: 3rd Conjugation -io,Violence,699
interim,meanwhile,Adverb,Time,693
interrogo interrogare,put a question to# ask (+ acc.),Verb: 1st Conjugation,Speech/Oratory,953
intersum intersumesse intersumfui,to be between; take part in# attend (+dat.); interest# it is in the interest of (+ gen.),Verb: Irregular,Place,760
intra,within (+ acc.),Preposition,Place,704
intro intrare,enter,Verb: 1st Conjugation,Motion,766
invenio invenire inveni inventum,find; discover,Verb: 4th Conjugation,Travel,316
invidia invidae f.,envy# jealousy# hatred,Noun: 1st Declension,Emotions,707
ipse ipsa ipsum,him- her- itself,Pronoun,Pronouns/Interrogatives,22
ira irae f.,wrath# anger,Noun: 1st Declension,Emotions,187
irascor irasci iratus sum,grow angry; iratus -a -um: angry,Verb: Deponent,Emotions,809
is ea id,he# she# it,Pronoun,Pronouns/Interrogatives,13
iste ista istud,that# that of yours; adv. istic or istuc: over there; istinc: from over there,Pronoun,Pronouns/Interrogatives,81
ita,thus# so,Adverb,Conjunctions/Adverbs,120
itaque,and so# therefore,Conjunction,Conjunctions/Adverbs,208
item,likewise,Adverb,Conjunctions/Adverbs,932
iter itineris n.,journey# route,Noun: 3rd Declension,Travel,230
iterum,again,Adverb,Time,758
iubeo iubere iussi iussum,bid# order,Verb: 2nd Conjugation,Justice,84
iudex iudicis m.,judge# juror,Noun: 3rd Declension,Justice,839
iudicium iudicii n.,judgment# decision# trial,Noun: 2nd Declension,Justice,749
iudico iudicare,judge# decide,Verb: 1st Conjugation,Justice,565
iugum iugi n.,yoke; ridge# chain of hills,Noun: 2nd Declension,Animals/Plants,335
iungo iungere iunxi iunctum,join,Verb: 3rd Conjugation -o,Making/Doing,513
iuro iurare,take an oath# swear; ius iurandum# oath,Verb: 1st Conjugation,Justice,896
ius iuris n.,right# justice# law,Noun: 3rd Declension,Justice,314
iustus iusta iustum,right# just# fair,Adjective: 1st and 2nd Declension,Justice,770
iuvenis iuvenis m.,youth,Noun: 3rd Declension,People,277
iuvo iuvare iuvi iutum,help# assist; please# delight,Verb: 1st Conjugation,Social Life,390
labor labooris m.,toil# exertion,Noun: 3rd Declension,Business/Money,201
laboro laborare,toil# work; be in trouble or distress,Verb: 1st Conjugation,Business/Money,900
lacrima lacriae f.,tear,Noun: 1st Declension,Emotions,354
laedo laedere laesi laesum,injure by striking# hurt,Verb: 3rd Conjugation -o,Violence,783
laetus laeta laetum,glad# joyful,Adjective: 1st and 2nd Declension,Emotions,262
lapis lapidis m.,stone,Noun: 3rd Declension,Earth and Water,840
lateo latere latui,lie hidden# be hidden,Verb: 2nd Conjugation,Deception,695
latus lateris n.,side# flank,Noun: 3rd Declension,The Body,382
latus lata latum,broad# wide,Adjective: 1st and 2nd Declension,Measurement,824
laudo laudare,praise,Verb: 1st Conjugation,Social Life,435
laus laudis f.,praise# glory,Noun: 3rd Declension,Social Life,444
legatus legati m.,lieutenant# envoy,Noun: 2nd Declension,War and Peace,464
legio legonis f.,legion,Noun: 3rd Declension,War and Peace,370
lego legere legi lectum,gather# choose# read,Verb: 3rd Conjugation -o,Writing/Poetry,419
levis leve,light# trivial,Adjective: 3rd Declension,Measurement,220
lex legis f.,law,Noun: 3rd Declension,Justice,264
liber libri m.,book,Noun: 2nd Declension,Writing/Poetry,901
liber libera liberum,free; liberi (m. pl.): freeborn children,Adjective: 1st and 2nd Declension,Justice,229
libertas libertatis f.,freedom,Noun: 3rd Declension,The City,495
libet libere libuit or libitum est,it is pleasing (+ dat. + infin.),Verb: Impersonal,Social Life,729
libido libiinis f.,passion# lust,Noun: 3rd Declension,Love,761
licet licere licuit licitum est,it is permitted (+ dat. + infin.),Verb: Impersonal,Justice,175
licet,even though,Conjunction,Justice,778
limen liminis n.,threshold,Noun: 3rd Declension,The House,516
lingua lingae f.,tongue; language,Noun: 1st Declension,The Body,732
littera litteae f.,letter# (pl.) literature,Noun: 1st Declension,Writing/Poetry,710
litus litoris n.,shore,Noun: 3rd Declension,Geography,245
locus loci m.,place; loca (n. pl.) region,Noun: 2nd Declension,Geography,62
longe,far# far off,Adverb,Measurement,400
longus longa longum,long# far,Adjective: 1st and 2nd Declension,Measurement,142
loquor loqui locutus sum,speak# talk,Verb: Deponent,Speech/Oratory,310
lumen luminis n.,light,Noun: 3rd Declension,Vision,375
luna luae f.,moon,Noun: 1st Declension,Air and Fire,902
lux lucis f.,light of day,Noun: 3rd Declension,Air and Fire,299
maestus maesta maestum,sad# sorrowful; depressing,Adjective: 1st and 2nd Declension,Emotions,669
magis,more,Adverb,Conjunctions/Adverbs,90
magister magistri m.,master# chief,Noun: 2nd Declension,Education/Knowledge,933
magnitudo magnituinis f.,greatness# size,Noun: 3rd Declension,Measurement,672
magnus magna magnum,great,Adjective: 1st and 2nd Declension,Measurement,25
maiores maiorum m.,ancestors,Noun: 3rd Declension,The Household,764
male,(adv.) badly,Adverb,Personality Traits/Characteristics,603
malo malle malui,prefer,Verb: Irregular,Emotions,598
malus mala malum,bad# evil,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,227
maneo manere mansi mansum,remain,Verb: 2nd Conjugation,Travel,357
manus manus f.,hand; band of men,Noun: 4th Declension,The Body,48
mare mais n.,sea,Noun: 3rd Declension,Earth and Water,125
maritus mariti m.,husband,Noun: 2nd Declension,The Household,654
mater matris f.,mother,Noun: 3rd Declension,The Household,127
materia materae f.,material# subject matter; timber# lumber,Noun: 1st Declension,Speech/Oratory,857
medius media medium,middle# central,Adjective: 1st and 2nd Declension,Place,162
membrum membri n.,limb# member of the body,Noun: 2nd Declension,The Body,481
memini meminisse,remember# recollect,Verb: Irregular,Education/Knowledge,670
memoria memorae f.,recollection# memory,Noun: 1st Declension,Education/Knowledge,627
mens mentis f.,mind,Noun: 3rd Declension,The Body,173
mensa menae f.,table,Noun: 1st Declension,The House,747
mereo merere merui meritum,deserve# merit; serve as a soldier,Verb: 2nd Conjugation,Business/Money,852
metuo metuere metui,to fear# to dread,Verb: 3rd Conjugation -o,Emotions,429
metus metus m.,fear# dread,Noun: 4th Declension,Emotions,215
meus meusa meusum,my,Pronoun,Pronouns/Interrogatives,41
miles militis m.,soldier,Noun: 3rd Declension,War and Peace,161
mille (pl.) milia,thousand,Adjective: Numeral,Measurement,247
miror mirari miratus sum,wonder at# marvel at (+ acc.),Verb: Deponent,Emotions,504
misceo miscere miscui mixtum,mix,Verb: 2nd Conjugation,Earth and Water,425
miser misera miserum,wretched# pitiable,Adjective: 1st and 2nd Declension,Emotions,137
mitto mittere misi missum,send# let go,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,114
modo,just# just now; modo ... modo: now ... now# at one moment ... at another# sometimes ... sometimes,Adverb,Time,152
modus modi m.,measure# manner# kind,Noun: 2nd Declension,Measurement,195
moenia moenium n. pl.,walls# fortifications,Noun: 3rd Declension,The City,593
mollis molle,soft# yielding# gentle,Adjective: 3rd Declension,Other Senses,356
moneo monere monui monitum,warn# advise,Verb: 2nd Conjugation,Speech/Oratory,711
mons montis m.,mountain,Noun: 3rd Declension,Geography,242
mora moae f.,delay# hindrance,Noun: 1st Declension,Time,399
morbus morbi m.,sickness# disease,Noun: 2nd Declension,The Body,658
morior mori mortuus sum,die,Verb: Deponent,Life and Being,253
moror morari moratus sum,delay,Verb: Deponent,Time,581
mors mortis f.,death,Noun: 3rd Declension,Life and Being,95
mortalis mortale,liable to death# mortal; (as subst.) a mortal,Adjective: 3rd Declension,Life and Being,950
mos moris m.,custom# habit; (pl.) character,Noun: 3rd Declension,Social Life,181
moveo movere movi motum,move,Verb: 2nd Conjugation,Motion,192
mox,soon,Adverb,Time,469
mulier mulieeris f.,woman,Noun: 3rd Declension,People,961
multitudo multituinis f.,multitude# number,Noun: 3rd Declension,Measurement,733
multus multa multum,much# many; multo# by far,Adjective: 1st and 2nd Declension,Measurement,43
mundus mundi m.,world# universe# heavens,Noun: 2nd Declension,Earth and Water,350
mundus munda mundum,clean# neat# elegant,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,997
munus muneris n.,gift# offering; duty# obligation; (pl.) gladiatorial show,Noun: 3rd Declension,Social Life,276
murus muri m.,wall,Noun: 2nd Declension,The House,508
muto mutare,change,Verb: 1st Conjugation,Making/Doing,315
nam or namque,for# indeed# really,Conjunction,Conjunctions/Adverbs,61
narro narrare,relate# recount,Verb: 1st Conjugation,Speech/Oratory,910
nascor nasci natus sum,be born,Verb: Deponent,Life and Being,266
natura natuae f.,nature,Noun: 1st Declension,Life and Being,180
natus nati m.,son,Noun: 2nd Declension,The Household,211
navis navis f.,ship,Noun: 3rd Declension,Travel,353
ne (enclitic),interrogative particle attached to the emphatic word in a question,Adverb,Pronouns/Interrogatives,238
ne,lest# that not,Conjunction,Conjunctions/Adverbs,47
nec,and not# nor; nec ... nec# neither ... nor; → neque,Conjunction,Conjunctions/Adverbs,19
necesse (indecl. adj.),necessary,Adjective: Indeclinable,Business/Money,773
necessitas necessittatis f.,necessity# need,Noun: 3rd Declension,Business/Money,911
nefas n. indecl.,impiety# wickedness,Noun: Indeclinable,Justice,541
nego negare,deny# refuse,Verb: 1st Conjugation,Speech/Oratory,294
negotium negotii n.,business,Noun: 2nd Declension,Business/Money,846
nemo,no one (gen. nullius# dat. nulli# abl. nullo or nulla → nullus -a -um),Pronoun,Pronouns/Interrogatives,179
nemus nemoris n.,grove# forest,Noun: 3rd Declension,Animals/Plants,461
neque,and not# nor; neque ... neque# neither ... nor; → nec,Conjunction,Conjunctions/Adverbs,72
nescio nescire,not know# be ignorant,Verb: 4th Conjugation,Education/Knowledge,525
nisi# ni,if not# unless,Conjunction,Conjunctions/Adverbs,100
niger nigra nigrum,black,Adjective: 1st and 2nd Declension,Vision,634
nihil# nil,nothing; not at all,Noun: Indeclinable,Measurement,55
nimis or nimium,excessively,Adverb,Personality Traits/Characteristics,841
nimius nimia nimium,too much# excessive,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,502
nobilis nobile,distinguished# noble; (as subst.) a nobleman or woman,Adjective: 3rd Declension,Personality Traits/Characteristics,455
noceo nocere nocui,harm,Verb: 2nd Conjugation,Violence,509
nolo nolle nolui,be unwilling,Verb: Irregular,Emotions,458
nomen nominis n.,name,Noun: 3rd Declension,Social Life,135
non,not,Adverb,Conjunctions/Adverbs,6
nondum,not yet,Adverb,Conjunctions/Adverbs,436
nos nostrum/nostri nobis nos,we,Pronoun,Pronouns/Interrogatives,51
nosco noscere novi notum,learn# know,Verb: 3rd Conjugation -o,Education/Knowledge,347
noster nostra nostrum,our,Pronoun,Pronouns/Interrogatives,52
notus nota notum,well-known,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,477
novus nova novum,new,Adjective: 1st and 2nd Declension,Time,139
nox noctis f.,night,Noun: 3rd Declension,Lengths of Time,119
nudus nuda nudum,naked# bare,Adjective: 1st and 2nd Declension,The Body,545
nullus nulla nullum,not any# no one,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,49
num,interrogative particle implying negative answer,Adverb,Pronouns/Interrogatives,924
numen numinis n.,divine will# deity,Noun: 3rd Declension,Religion,452
numerus numeri m.,number# amount,Noun: 2nd Declension,Measurement,338
numquam,never,Adverb,Time,251
nunc,now,Adverb,Time,50
nuntius nuntii m.,messenger; news,Noun: 2nd Declension,Travel,919
ob,against# on account of (+acc),Preposition,Place,449
occido occidere occidi occidcisum,kill# cut down,Verb: 3rd Conjugation -o,Violence,801
occupo occupare,seize# occupy; anticipate# do a thing first (+ infin.),Verb: 1st Conjugation,War and Peace,472
occurro occurrere occurrcucurri occurrcursum,run to meet; come into one’s mind,Verb: 3rd Conjugation -o,Education/Knowledge,677
oculus oculi m.,eye,Noun: 2nd Declension,The Body,206
odi odisse,hate,Verb: Irregular,Emotions,790
odium odii n.,hatred,Noun: 2nd Declension,Emotions,522
offero offerre obtuli oblatum,present# offer# expose,Verb: Irregular,Verbs of Transport,812
officium officii n.,service# duty,Noun: 2nd Declension,The City,607
olim,formerly# at that time,Adverb,Time,574
omnis omne,all# every# as a whole,Adjective: 3rd Declension,Measurement,18
onus oneris n.,load# burden,Noun: 3rd Declension,Measurement,842
opera opeae f.,labor# activity# work,Noun: 1st Declension,Business/Money,843
oportet oportetere oportetuit,it is proper# right (+ acc. + infin.),Verb: Impersonal,Social Life,806
oppidum oppidi n.,town,Noun: 2nd Declension,The City,635
ops opis f.,assistance# resources,Noun: 3rd Declension,Business/Money,318
opto optare,choose# select,Verb: 1st Conjugation,Personality Traits/Characteristics,417
opus operis n.,work,Noun: 3rd Declension,Business/Money,332
oratio oratonis f.,speech# address,Noun: 3rd Declension,Speech/Oratory,736
orbis orbis m.,circle; orbis terrarum: world,Noun: 3rd Declension,Geography,322
ordo orinis m.,order# rank,Noun: 3rd Declension,War and Peace,416
orior oriri ortus sum,arise# begin,Verb: Deponent,Time,642
oro orare,pray,Verb: 1st Conjugation,Religion,755
os oris n.,mouth# face,Noun: 3rd Declension,The Body,147
os ossis n.,bone,Noun: 3rd Declension,The Body,696
ostendo ostendere ostendi ostentum,show# hold out,Verb: 3rd Conjugation -o,Other Senses,371
otium otii n.,leisure,Noun: 2nd Declension,Social Life,715
paene,almost,Adverb,Conjunctions/Adverbs,944
par paris,equal,Adjective: 3rd Declension,Measurement,281
parco parcere peperci parsum,spare# be sparing of (+ dat.),Verb: 3rd Conjugation -o,War and Peace,412
parens parentis m./f.,parent,Noun: 3rd Declension,The Household,190
pareo parere parui,obey,Verb: 2nd Conjugation,Verbs of Compelling/Directing,847
pario parere peperi partum,bring forth# give birth to; accomplish,Verb: 3rd Conjugation -io,Life and Being,829
paro pare,prepare# acquire; paratus -a -um# ready,Verb: 1st Conjugation,Making/Doing,160
pars partis f.,part,Noun: 3rd Declension,Measurement,65
parum,too little,Adverb,Measurement,204
parvus parva parvum,small,Adjective: 1st and 2nd Declension,Measurement,143
pateo patere patui,lie open# extend; be evident or obvious,Verb: 2nd Conjugation,Geography,550
pater patris m.,father# ancestor,Noun: 3rd Declension,The Household,71
patior pati passus sum,permit# endure,Verb: Deponent,Verbs of Compelling/Directing,185
patria patrae f.,fatherland# country,Noun: 1st Declension,Geography,342
pauci pauae paua,few# a few,Adjective: 1st and 2nd Declension,Measurement,858
paulo# paulum,to only a small extent# slightly# a little,Adverb,Measurement,872
pauper paupeeris,poor# lowly,Adjective: 3rd Declension,Business/Money,844
pax pacis f.,peace,Noun: 3rd Declension,War and Peace,388
pecco peccare,commit a wrong# injure,Verb: 1st Conjugation,Justice,792
pectus pectoris n.,chest# breast,Noun: 3rd Declension,The Body,183
pecunia pecunae f.,money,Noun: 1st Declension,Business/Money,530
pecus pecoris n.,cattle# sheep,Noun: 3rd Declension,Animals/Plants,566
pello pellere pepuli pulsum,strike# beat# push# drive,Verb: 3rd Conjugation -o,Violence,563
pendo pendere pependi pensum,weigh# hang# suspend; pay,Verb: 3rd Conjugation -o,Business/Money,988
per,through (+acc.),Preposition,Place,30
perdo perdere perdidi perditum,destroy,Verb: 3rd Conjugation -o,Violence,488
pereo perire perii peritum,perish# be lost,Verb: Irregular,Violence,268
pergo pergere perrexi perrectum,continue# proceed; awaken,Verb: 3rd Conjugation -o,Motion,821
periculum periculi n.,danger,Noun: 2nd Declension,Violence,265
permitto permittere permittmisi permittmissum,yield# allow# permit,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,702
perpetuus perpetua perpetuum,unbroken# perpetual,Adjective: 1st and 2nd Declension,Lengths of Time,891
pertineo pertinere pertinui,extend over# reach; refer to# pertain to# be the business of,Verb: 2nd Conjugation,Education/Knowledge,866
pervenio pervenire perveni perventum,arrive# reach,Verb: 4th Conjugation,Travel,409
pes pedis m.,foot,Noun: 3rd Declension,The Body,199
peto petere petivi petitum,seek# aim at,Verb: 3rd Conjugation -o,Motion,83
pietas piettatis f.,sense of duty# devotion# esp. between parents and children,Noun: 3rd Declension,The Household,767
pius pia pium,dutiful# devoted# just# pious,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,748
placeo placere placui placitum,please,Verb: 2nd Conjugation,Social Life,287
plebs plebis f.,the common people,Noun: 3rd Declension,The City,649
plenus plena plenum,full,Adjective: 1st and 2nd Declension,Measurement,459
plerumque,generally,Adverb,Measurement,974
pleruspleru pleraplerusple plerumque,the greater part# very many# most# the majority,Adjective: 1st and 2nd Declension,Measurement,968
poena poeae f.,penalty# punishment,Noun: 1st Declension,Justice,223
poeta poeae m.,poet,Noun: 1st Declension,Writing/Poetry,913
pondus ponderis n.,weight,Noun: 3rd Declension,Measurement,636
pono ponere posui positum,put# place; put aside,Verb: 3rd Conjugation -o,Verbs of Transport,102
pontus ponti m.,the open sea# the deep,Noun: 2nd Declension,Earth and Water,630
populus populi m.,people,Noun: 2nd Declension,The City,122
porta porae f.,gate,Noun: 1st Declension,The City,759
porto portare,carry a load,Verb: 1st Conjugation,Measurement,853
posco poscere poposci,demand# claim; inquire into,Verb: 3rd Conjugation -o,Speech/Oratory,487
possum posse potui,be able,Verb: Irregular,Making/Doing,23
post,after (adv. and prep. +acc.),Preposition,Time,164
postea,afterwards,Adverb,Time,964
posterus postera posterum,next# later,Adjective: 1st and 2nd Declension,Time,877
postquam,after,Conjunction,Time,384
potens potentis,able# powerful,Adjective: 3rd Declension,Personality Traits/Characteristics,567
potestas potestatis f.,power,Noun: 3rd Declension,The City,737
potis pote,powerful# able,Adjective: 3rd Declension,Personality Traits/Characteristics,947
praebeo praebere praebui praebitum,furnish# supply# render,Verb: 2nd Conjugation,Verbs of Transport,584
praeceptum praecepti n.,rule# precept; command,Noun: 2nd Declension,Justice,825
praecipio praecipere praecipcepi praecipceptum,anticipate# advise# warn,Verb: 3rd Conjugation -io,Speech/Oratory,945
praeda praeae f.,booty# prey,Noun: 1st Declension,War and Peace,626
praemium praemii n.,bounty# reward,Noun: 2nd Declension,Business/Money,680
praesens praesentis,present# in person# ready,Adjective: 3rd Declension,Place,822
praesidium praesidii n.,garrison# protection,Noun: 2nd Declension,War and Peace,582
praesto praestare praestiti praestitum,excel# exhibit,Verb: 1st Conjugation,Other Senses,423
praeter,by# along# past; besides# except (+ acc.),Preposition,Place,756
praeterea,besides# moreover,Adverb,Conjunctions/Adverbs,681
praetor praetooris m.,praetor# one of the chief Roman magistrates,Noun: 3rd Declension,The City,878
precor precorari,pray# invoke,Verb: Deponent,Religion,492
premo premere pressi pressum,press# pursue# overwhelm,Verb: 3rd Conjugation -o,War and Peace,240
pretium pretii n.,price# worth# reward; pretium operae: a reward for trouble,Noun: 2nd Declension,Business/Money,629
prex precis f.,prayers# entreaties,Noun: 3rd Declension,Religion,520
primum,at first# firstly,Adverb,Time,252
primus prima primum,first,Adjective: 1st and 2nd Declension,Time,91
princeps princecipis,first# chief; (as subst.) leader# person in charge,Adjective: 3rd Declension,The City,317
principium principii n.,beginning,Noun: 2nd Declension,Time,948
prior prius,earlier# preceding,Adjective: 3rd Declension,Time,526
privatus privata privatum,personal# private,Adjective: 1st and 2nd Declension,Social Life,882
prius or priusquam,before,Adverb,Time,484
pro,for# on behalf of# in proportion to (+abl.),Preposition,Non-Directional Prepositions,128
probo probare,approve# prove; convince one (dat.) of a thing (acc.),Verb: 1st Conjugation,Verbs of Compelling/Directing,784
procedo procedere procedcessi procedcessum,go forth# advance,Verb: 3rd Conjugation -o,Motion,746
procul,at a distance,Adverb,Place,397
prodo prodere prodidi proditum,publish# hand down; give over# betray,Verb: 3rd Conjugation -o,Verbs of Transport,929
proelium proelii n.,battle,Noun: 2nd Declension,War and Peace,348
proficiscor proficiscorficisci proficiscorfectus sum,set forth# go,Verb: Deponent,Travel,835
prohibeo prohibere prohibui prohibitum,restrain# keep away,Verb: 2nd Conjugation,Verbs of Compelling/Directing,604
promitto promittere promittmisi promittmissum,send forth# offer,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,720
prope,near# next; (comp.) propior# (superl.) proximus; (adv.) prope# nearly# almost,Preposition,Place,189
propero properare,hasten# speed,Verb: 1st Conjugation,Motion,537
propono proponere proponposui proponpositum,put forth# propose# present,Verb: 3rd Conjugation -o,Speech/Oratory,930
proprius propria proprium,one’s own# peculiar,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,854
propter,because of (+ acc.),Preposition,Non-Directional Prepositions,560
prosum prodesse profui,be of use# do good# help (+ dat.),Verb: Irregular,Social Life,373
protinus,at once# forthwith,Adverb,Time,903
provincia provincae f.,province; official duty,Noun: 1st Declension,The City,620
publicus publica publicum,public# belonging to the state,Adjective: 1st and 2nd Declension,The City,517
pudor pudoris m.,sense of shame# modesty# propriety,Noun: 3rd Declension,Personality Traits/Characteristics,616
puella puelae f.,girl; girl-friend,Noun: 1st Declension,People,233
puer pueri m.,boy; slave,Noun: 2nd Declension,People,191
pugna pugae f.,fist-fight; battle,Noun: 1st Declension,Violence,650
pugno pugnare,fight,Verb: 1st Conjugation,Violence,708
pulcher pulchechra pulchechrum,beautiful,Adjective: 1st and 2nd Declension,Vision,569
puto putare,think# suppose,Verb: 1st Conjugation,Education/Knowledge,166
qua,where# how,Pronoun,Pronouns/Interrogatives,336
quaero quaerere quaersivi quaersitum,seek# inquire,Verb: 3rd Conjugation -o,Education/Knowledge,113
qualis qualise,of what kind? what?,Pronoun,Pronouns/Interrogatives,263
quam,how?; (after comparative) than,Adverb,Pronouns/Interrogatives,29
quamquam,however# although,Conjunction,Conjunctions/Adverbs,644
quamvis,however you like; although,Adverb,Conjunctions/Adverbs,489
quando,when?; since; si quando: if ever,Adverb,Pronouns/Interrogatives,621
quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,Pronouns/Interrogatives,557
quantus quantusa quantusum,(interr.) how great? (rel.) of what size# amount# etc. (as subst.) what amount? (rel.) which amount; quanti# at what price? (rel.) at which price,Pronoun,Pronouns/Interrogatives,311
quare,how? why?,Adverb,Pronouns/Interrogatives,786
quasi,as if,Adverb,Conjunctions/Adverbs,938
quattuor,four,Adjective: Numeral,Measurement,867
que,and (postpositive enclitic),Conjunction,Conjunctions/Adverbs,4
quemadmodum,in what manner# how,Adverb,Pronouns/Interrogatives,531
queror queri questus sum,complain of# lament,Verb: Deponent,Emotions,518
qui quae quod,who# which# what,Pronoun,Pronouns/Interrogatives,3
quia,because,Conjunction,Conjunctions/Adverbs,132
quicumque quaecumque quodcumque,who-# whatever,Pronoun,Pronouns/Interrogatives,284
quidam quaedam quoddam,a certain one# someone,Pronoun,Pronouns/Interrogatives,126
quidem,certainly# at least,Adverb,Conjunctions/Adverbs,136
quiesco quiescere quievi quietum,keep quiet; sleep,Verb: 3rd Conjugation -o,Life and Being,969
quin,(adv.) indeed# in fact; (conjunction) so that ... not (+ subj.),Adverb,Conjunctions/Adverbs,456
quippe,(adv.) indeed# surely,Adverb,Conjunctions/Adverbs,499
quis quid,who? what? which?,Pronoun,Pronouns/Interrogatives,212
quisquam quicquam/quidquam,any (single) person# anyone at all,Pronoun,Pronouns/Interrogatives,280
