word, deff, prt_of_speech, usage, frequency_rank 
auctoritas auctoritatis f.,influence# clout# authority,Noun: 3rd Declension,Social Life,898
audax audacis,bold# daring; reckless,Adjective: 3rd Declension,Personality Traits/Characteristics,876
audeo audere ausus sum,dare# be eager,Verb: 2nd Conjugation,Personality Traits/Characteristics,270
audio audire audivi auditum,hear# listen to,Verb: 4th Conjugation,Other Senses,165
aufero auferre abstuli ablatum,take away,Verb: Irregular,Verbs of Transport,556
augeo augere auxi auctum,increase,Verb: 2nd Conjugation,Making/Doing,709
avis avis f.,bird,Noun: 3rd Declension,Animals/Plants,855
aura auae f.,breeze,Noun: 1st Declension,Air and Fire,420
aureus aurea aureum,golden; splendid,Adjective: 1st and 2nd Declension,Business/Money,691
auris auris f.,ear,Noun: 3rd Declension,The Body,366
aurum auri n.,gold,Noun: 2nd Declension,Business/Money,303
aut,or,Conjunction,Conjunctions/Adverbs,24
autem,moreover# but# however,Conjunction,Conjunctions/Adverbs,123
auxilium auxilii n.,support# assistance; (pl.) auxiliary forces,Noun: 2nd Declension,War and Peace,543
barbarus barbari m.,foreigner# barbarian,Noun: 2nd Declension,War and Peace,768
beatus beata beatum,happy# blessed# prosperous# fortunate,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,408
bellum belli n.,war,Noun: 2nd Declension,War and Peace,86
bene,well,Adverb,Personality Traits/Characteristics,235
beneficium beneficii n.,service# kindness,Noun: 2nd Declension,Social Life,182
bonus bona bonum,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,68
bos bovis m.,ox; gen. pl. boum,Noun: 3rd Declension,Animals/Plants,808
brevis breve,short# shallow# brief,Adjective: 3rd Declension,Measurement,589
breviter,briefly,Adverb,Measurement,992
cado cadere cecidi casum,fall# be killed,Verb: 3rd Conjugation -o,Violence,210
caecus caeca caecum,blind# unseeing; dark# obscure,Adjective: 1st and 2nd Declension,Vision,728
caedes caedis f.,killing# slaughter,Noun: 3rd Declension,Violence,415
caedo caedere cecidi caesum,strike# kill# cut down,Verb: 3rd Conjugation -o,Violence,612
caelestis caeleste,from or of heaven; caelestes# the gods,Adjective: 3rd Declension,Air and Fire,960
caelum caeli n.,sky# heavens,Noun: 2nd Declension,Air and Fire,117
campus campi m.,plain# field,Noun: 2nd Declension,Earth and Water,391
candidus candida candidum,white# fair,Adjective: 1st and 2nd Declension,Vision,692
canis canis m./f.,dog,Noun: 3rd Declension,Animals/Plants,687
cano canere cecini cantum,sing,Verb: 3rd Conjugation -o,Writing/Poetry,389
capio capere cepi captum,seize,Verb: 3rd Conjugation -io,War and Peace,131
caput capitis n.,head,Noun: 3rd Declension,The Body,124
careo carere carui,lack (+ abl.),Verb: 2nd Conjugation,Business/Money,572
carmen carminis n.,song,Noun: 3rd Declension,Writing/Poetry,254
carus cara carum,dear,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,462
castrum castri n.,fortress# (regularly plural# castra camp),Noun: 2nd Declension,War and Peace,224
castus casta castum,pure# spotless# chaste,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,838
casus casus m.,a fall; chance# accident,Noun: 4th Declension,Violence,344
caveo cavere cavi cautum,be on guard# beware,Verb: 2nd Conjugation,Violence,941
causa cauae f.,cause# reason; causa + preceding genitive# for the sake of,Noun: 1st Declension,Speech/Oratory,107
cedo cedere cessi cessum,go# move; yield,Verb: 3rd Conjugation -o,War and Peace,304
celebro celebrare,frequent# throng# crowd,Verb: 1st Conjugation,The City,893
celer celeis celee,swift,Adjective: 3rd Declension,Time,745
celeriter,quickly,Adverb,Time,967
censeo censere censui censum,assess# rate; think# decide,Verb: 2nd Conjugation,Education/Knowledge,928
centum,one hundred,Adjective: Numeral,Measurement,730
cerno cernere crevi cretum,discern# separate,Verb: 3rd Conjugation -o,Education/Knowledge,655
certe,certainly# surely,Adverb,Measurement,601
certo certare,decide by contest; fight# compete# vie,Verb: 1st Conjugation,Athletics,864
certus certa certum,sure# fixed,Adjective: 1st and 2nd Declension,Measurement,285
ceterum,for the rest# in addition# however that may be,Adverb,Pronouns/Interrogatives,571
ceterus cetera ceterum,the other# the others# the rest,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,596
cibus cibi m.,food,Noun: 2nd Declension,Life and Being,863
cingo cingere cinxi cinctum,encircle# surround# gird,Verb: 3rd Conjugation -o,War and Peace,814
cinis cineris m./f.,ashes# embers,Noun: 3rd Declension,Air and Fire,779
circa,around (adv. and prep. +acc.),Preposition,Place,735
citus cita citum,swift; cito swiftly,Adjective: 1st and 2nd Declension,Time,590
civis civis m./f.,citizen,Noun: 3rd Declension,The City,471
civitas civitatis f.,citizenship# state,Noun: 3rd Declension,The City,346
clamor clamooris m.,outcry# shout,Noun: 3rd Declension,Speech/Oratory,605
clarus clara clarum,clear# distinguished,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,395
classis classis f.,class# division# fleet,Noun: 3rd Declension,War and Peace,505
claudo claudere clausi clausum,close# shut,Verb: 3rd Conjugation -o,The House,392
coepi coepisse coeptus,begin,Verb: Irregular,Time,312
cogito cogitare,think# reflect,Verb: 1st Conjugation,Education/Knowledge,515
cognosco cognoscere cognoscgnovi cognoscgnitum,learn# understand,Verb: 3rd Conjugation -o,Education/Knowledge,339
cogo cogere coegi coactum,drive together; compel,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,250
cohors cohortis f.,cohort# band# troop,Noun: 3rd Declension,War and Peace,666
colligo colligere colliglegi colliglectum,gather together# collect,Verb: 3rd Conjugation -o,Verbs of Compelling/Directing,820
colo colere colui cultum,inhabit# cultivate,Verb: 3rd Conjugation -o,Animals/Plants,333
color colooris m.,color,Noun: 3rd Declension,Vision,725
coma coae f.,hair# tresses,Noun: 1st Declension,The Body,405
comes comitis m./f.,companion# comrade; attendant# follower,Noun: 3rd Declension,Social Life,448
committo committere committmisi committmissum,join# entrust to (+ dat.); perform# do,Verb: 3rd Conjugation -o,Social Life,608
communis commune,common# general,Adjective: 3rd Declension,The City,660
comparo compare,get ready# provide; compare,Verb: 1st Conjugation,Business/Money,890
compono componere posui positum,build# construct# arrange,Verb: 3rd Conjugation -o,Making/Doing,443
concedo concedere concedcessi concedcessum,yield# withdraw,Verb: 3rd Conjugation -o,War and Peace,663
condicio condiconis f.,agreement# condition,Noun: 3rd Declension,Business/Money,920
condo condere condidi conditum,build# found; store up; hide# conceal,Verb: 3rd Conjugation -o,The City,540
confero conferre contuli collatum,collect# bring to,Verb: Irregular,Verbs of Transport,645
conficio conficere conficfeci conficfectum,complete# accomplish; destroy# kill# consume,Verb: 3rd Conjugation -io,Violence,894
confiteor confiteri confessus sum,admit (a fact)# confess (a crime); reveal# disclose,Verb: Deponent,Justice,972
coniunx coniugis m./f.,spouse# husband# wife,Noun: 3rd Declension,The Household,218
conor conari conatus sum,try# attempt,Verb: Deponent,Making/Doing,905
consequor consequorsequi consequorsecutus sum,follow up# overtake# attain,Verb: Deponent,Motion,917
consilium consilii n.,plan; council# group of advisors,Noun: 2nd Declension,The City,217
consisto consistere consistiti,take position; consist in# be composed of,Verb: 3rd Conjugation -o,Speech/Oratory,780
constituo constituere constitui constitutum,establish# put together,Verb: 3rd Conjugation -o,Making/Doing,652
consto constare constiti,agree; constat# it is established that (+ acc. and infin.),Verb: 1st Conjugation,Speech/Oratory,731
consuetudo consuetuinis f.,custom# habit,Noun: 3rd Declension,Personality Traits/Characteristics,954
consul consulis m.,consul,Noun: 3rd Declension,The City,321
consulo consulere consului consultum,consult# plan (+ acc.); consider the interests of (+dat),Verb: 3rd Conjugation -o,The City,757
consumo consumere consumpsi consumptum,to use up# consume,Verb: 3rd Conjugation -o,Life and Being,869
contemno contemnere contemntempsi contemntemptum,despise# scorn# disdain,Verb: 3rd Conjugation -o,Emotions,615
contineo continere continui contintentum,contain# restrain,Verb: 2nd Conjugation,Verbs of Compelling/Directing,804
contingo contingere contingtigi contingtactum,touch# be contiguous to,Verb: 3rd Conjugation -o,Place,494
